proj_id,proj_name,proj_desc,proj_confirmed,proj_industry,proj_start_date,proj_end_date,proj_link,user_id,user_email,user_verified,user_first_name,user_last_name,user_sex,user_date_of_birth,user_about_me,user_registration_date,user_country,user_city,mem_creator,mem_confirmed,mem_position,mem_role,mem_skills,mem_tools,mem_duties
2,pn1,pd1,true,i1,2020-09-02,2020-09-05,pl1,3,test2@sixhands.dev,true,null,null, ,null,null,null,null,null,false,false,null,memRole2,null,null,null
,,,,,,,,5,test3@sixhands.dev,true,null,null, ,null,null,null,null,null,false,false,null,memRole3,null,null,null
,,,,,,,,1,test@sixhands.dev,true,Peter,Parker, ,null,null,null,null,null,true,false,p1,r1,s1,t1,d1
,,,,,,,,8,test4@sixhands.dev,false,null,null, ,null,null,null,null,null,false,false,null,memRole4,null,null,null
,,,,,,,,10,test5@sixhands.dev,true,null,null, ,null,null,null,null,null,false,true,memPos5,memRole5,memSkills5,memTools5,memDuties5
12,pn2,pd2,true,i2,2020-09-02,2020-09-03,pl2,10,test5@sixhands.dev,true,null,null, ,null,null,null,null,null,false,false,null,memRole5,null,null,null
,,,,,,,,1,test@sixhands.dev,true,Peter,Parker, ,null,null,null,null,null,true,false,p2,r2,s2,t2,d2
,,,,,,,,14,test6@sixhands.dev,false,null,null, ,null,null,null,null,null,false,false,null,memRole6,null,null,null
,,,,,,,,17,test7@sixhands.dev,true,null,null, ,null,null,null,null,null,false,true,memPos7,memRole7,memSkills7,memTools7,memDuties7
,,,,,,,,19,test8@sixhands.dev,true,null,null, ,null,null,2020-09-16,null,null,false,false,null,memRole8,null,null,null
